Punkt_ID;Platsnamn;N;E
P02;Södra Kalvsjön;6338643;381266
P03;vik Kalvsmossen;6338822;380995
P04;Hundvik mitt;6339380;381971
P05;Hundvik norr;6339416;381956
P06;Utanför Hundvik;6339428;381703
P07;Norrgärdet 2m ut;6340611;382788
P08;Utlopp Götshults kanal;6340634;383095
P09;Vännev. Öst 10m in;6340701;383220
P10;Vännev. Norr 1 m ut;6340882;383221
P11;Utlopp Åstabo;6342182;383454
P12;Åstabovik;6342172;383465
P13;Bökenäsbäck 2 m ut;6341748;383357
P14;Utanför Bökenäs;6341884;383227
P15;Lommaholmsv. 2m ut;6343731;384021
P16;Utlopp Fursjön;6344225;384125
P17;Inlopp S. arm;6345462;383832
P18;Inlopp N. arm;6345574;383878
P19;Norra Kalvsjön;6345689;383401
P20;Lerviksb. 25 m upp;6344607;382662
P21;Bäcks bäck 10 m in;6341022;381837
P22;Kyrkbäcken 10 m in;6340765;381678
P23;Stångån, ovan Spångån;6348619;386501
P24;Kättarpsån bron;6345826;384492
P25;Slättäng dike;6345892;384476
P26;Hundvik söder 25 m upp;6339189;381839
P27;Hundviksb. Under väg;6339290;382086
P28;Dräggb. Bökenäs;6342076;384120
P29;Fursjön;6344342;384400
P30;Hörnebäck;6344053;384673
P31;Åstaboäng ;6342396;384212
P32;Rudsb. Under väg;6344425;384968
P33;Ruds dunge;6344912;385040
P34;Norra kanalen;6342967;386589
P35;Nättsjöb.;6339188;383732
P36;Ovan Götshults kanal;6340133;383373
P37;Baggagropen;6336613;379418
P38;söder Kroksjön;6336809;379404
P39;Bälshult u vägen;6336735;379309
P40;Brobäcken;6337854;379762
P41;KROKSJÖN;6337997;379949
P42;Gustafssonsb.;6338051;380018
P43;Slättäng Pjuksbo;6339103;380865
P44;Pjuksbob.;6339140;380710
P45;Ävjekanal;6338454;380908
P46;Ävjebro;6338020;380742
P47;Gärdesmossen norr;6337989;380742
P48;Torasjön;6338248;380740
P49;Röasjön utlopp;6342992;381991
P50;Holmamossen norr arm;6343482;381718
P51;Holmamossen östra arm;6343476;381732
P52;Röasjön inlopp;6343614;381337
P53;Rösarpb.;6343578;381202
P54;Övre Stångsjön;6366526;390718
P55;bäck öster t Ö. Stångsjön;6366279;391465
P56;Visen Stubbabovik;6365088;393857
P57;Såg/Kvarnbäck Ambjörnarp;6366020;397173
P58;Kyrkesjöns utlopp;6365099;397672
P59;Lillån  landsväg Lida;6363722;397091
P60;Holmsjön;6361530;397384
P61;Grysjöåån;6359361;397647
P62;Llllån Sävshult;6359483;397105
P63;Sävshult Kvarnbäcken?;6359389;396975
P64;Hornbetan, utlopp;6355951;402752
P65;Dalsjön, utlopp;6353096;399115
P66;Pinkån, Gräskelid;6353400;397883
P67;Lillån, Mölneby;6356123;382165
P68;Tranebäck;6346805;385861
P69;Spångån gamla bro;6348564;386652
P70;Stångån  Häcksvik;6353585;387911
P71;Hästmo, bäck;6353925;387194
P72;Vibäcken, Rävåsen;6354824;384851
P73;Nättsjön;6338329;383099
P74;Nättsjöb. Utlopp;6338356;383107
P75;Porsbäcken;6337830;381694
P76;V. Fegen Brännarsvik;6342406;387052
P77;Stångån, övre, Holmalund;6363404;390158
P78;Lillån/Lunnab., Holm;6361716;389183
P79;Holm, f. nrodost;6361728;389210
P80;Kvarnabäcken, Björslida;6360094;391539
P81;Stångån, ovan Björslida;6360049;391477
P82;Galtabäcken;6356326;391102
P83;Labäcken, Håcksvik;6354098;388678
P84;Drägvedsån, Håcksvik;6354139;388548
P85;Tinkån, nedströms;6351293;391631
P86;Tostaholmen, bryggan;6351043;391468
P87;Kvarnatorpsån,;6348195;389985
P88;Spångån, nedan luckor;6346849;387683
P89;Porssjön;6337505;381129
P90;Kvarnsjöb. Bålared;6336922;380341
